title,organization,location,date,time,duration,datetime_iso,distance,opportunity_type,opportunity_url,opportunity_id,organization_url,scraped_at
Graphic Designer (Volunteer),5-Eleven Hoops,Virtual (Virtual),Ongoing,,,2026-01-28T00:01:00Z,0 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg0000AvhV7wMQE,a0CQg0000AvhV7wMQE,https://volunteer.laworks.com/organization/0013l00002MQHwlAAH,2026-02-11T17:58:24.250261
Social Media Manager (Volunteer),5-Eleven Hoops,Virtual (Virtual),Ongoing,,,2026-01-28T00:01:00Z,0 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg0000AviPknMQE,a0CQg0000AviPknMQE,https://volunteer.laworks.com/organization/0013l00002MQHwlAAH,2026-02-11T17:58:24.269415
Fundraiser Volunteer,5-Eleven Hoops,Virtual (Virtual),Ongoing,,,2026-01-28T00:01:00Z,0 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg0000AviajOMQQ,a0CQg0000AviajOMQQ,https://volunteer.laworks.com/organization/0013l00002MQHwlAAH,2026-02-11T17:58:24.286183
Mock Interviewing with Participants (Step into Tech),UNITE-LA,Zoom (Virtual),Ongoing,,,2026-02-05T00:01:00Z,0 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg0000B2y8f6MQA,a0CQg0000B2y8f6MQA,https://volunteer.laworks.com/organization/0013l00002c5ehiAAA,2026-02-11T17:58:24.304484
"Make a Difference, Become a Mentor (Step into Tech)!",UNITE-LA,Zoom (Virtual),Ongoing,,,2026-03-10T00:01:00Z,0 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg0000B2y8TlMQI,a0CQg0000B2y8TlMQI,https://volunteer.laworks.com/organization/0013l00002c5ehiAAA,2026-02-11T17:58:24.325376
🌟 Be the Spark: Change a Child’s Future with Just One Hour a Week,School on Wheels,Various Locations (Virtual),Ongoing,,,2025-12-31T00:01:00Z,0 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg0000ALlMr4MQF,a0CQg0000ALlMr4MQF,https://volunteer.laworks.com/organization/001A000001FZLFlIAP,2026-02-11T17:58:24.340632
Networking with Participants (Step into Tech),UNITE-LA,Virtual (Virtual),Ongoing,,,2026-02-05T00:01:00Z,0 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg0000B2xtf9MQA,a0CQg0000B2xtf9MQA,https://volunteer.laworks.com/organization/0013l00002c5ehiAAA,2026-02-11T17:58:24.362975
Coordinate A Book Drive for Little Free Libraries Near You,Little Free Library,Anywhere in the LA area where there are Little Free Libraries (Virtual),Ongoing,,,2024-10-10T00:01:00Z,0 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg00003lwLQuMAM,a0CQg00003lwLQuMAM,https://volunteer.laworks.com/organization/001Qg00000JTvuPIAT,2026-02-11T17:58:24.381428
Distribute Books to Little Free Libraries Near You,Little Free Library,Anywhere in the LA area where there are Little Free Libraries (Virtual),Ongoing,,,2024-10-10T00:01:00Z,0 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg00003lwE0JMAU,a0CQg00003lwE0JMAU,https://volunteer.laworks.com/organization/001Qg00000JTvuPIAT,2026-02-11T17:58:24.395840
Write a thank you note to a Little Free Library steward,Little Free Library,Anywhere in the LA area where there are Little Free Libraries (Virtual),Ongoing,,,2026-01-28T00:01:00Z,0 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg0000Avg31xMQA,a0CQg0000Avg31xMQA,https://volunteer.laworks.com/organization/001Qg00000JTvuPIAT,2026-02-11T17:58:24.419435
Support Students in Need: Step Up Tutoring Info Session,Step Up Tutoring,Virtual (Virtual),2/26/26,12:00 PM,1 hour,2026-02-26T12:00:00Z,0 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg0000B6rPpBMQU,a0CQg0000B6rPpBMQU,https://volunteer.laworks.com/organization/0013l00002HeTSuAAN,2026-02-11T17:58:24.438415
Building Native Habitat at Rio de Los Angeles State Park: TestPlot focused!,Los Angeles River State Park Partners,"Los Angeles, CA 90065",4/12/26,9:00 AM,2 hours,2026-04-12T09:00:00Z,1 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg00009zgpg6MAA,a0CQg00009zgpg6MAA,https://volunteer.laworks.com/organization/0013l00002exhh5AAA,2026-02-11T17:58:24.455572
Community Work Day at La Esquinita Garden Park,MRCA,"Los Angeles, CA 90065",2/21/26,9:00 AM,3 hours,2026-02-21T09:00:00Z,2 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg0000B0Ko4gMQC,a0CQg0000B0Ko4gMQC,https://volunteer.laworks.com/organization/001A000000a9afKIAQ,2026-02-11T17:58:24.471612
Harvest Fruit and Fight Hunger in East Los Angeles!,Food Forward,"Los Angeles, CA 90041",Ongoing,,,2024-02-22T00:01:00Z,2 miles,Special Event,https://volunteer.laworks.com/opportunity/a0CQg00001O2JEZMA3,a0CQg00001O2JEZMA3,https://volunteer.laworks.com/organization/001A000000ixpvaIAA,2026-02-11T17:58:24.485922
St. Barnabas Produce Distribution,St. Barnabas Episcopal Church,"Los Angeles, CA 90041",2/12/26,8:00 AM,2.5 hours,2026-02-12T08:00:00Z,2 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg00009h6XhdMAE,a0CQg00009h6XhdMAE,https://volunteer.laworks.com/organization/0013l00002ZYpSAAA1,2026-02-11T17:58:24.502107
Help the Boys & Girls Club's Food Bank Distribution,Boys & Girls Club of Los Angeles,"Los Angeles, CA 90031",2/12/26,2:30 PM,3.5 hours,2026-02-12T14:30:00Z,2 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg00009OqDF6MAN,a0CQg00009OqDF6MAN,https://volunteer.laworks.com/organization/001A000000a9a2oIAA,2026-02-11T17:58:24.518180
Fight Food Waste at the Atwater Village Farmers Market on Sundays!,Food Forward,"Los Angeles, CA 90039",Ongoing,,,2024-06-10T00:01:00Z,2 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg00002Rf8voMAB,a0CQg00002Rf8voMAB,https://volunteer.laworks.com/organization/001A000000ixpvaIAA,2026-02-11T17:58:24.532810
VILLAGE VOLUNTEER DAY THIS VALENTINE'S WEEKEND,Anawakalmekak,"Los Angeles, CA 90042",2/14/26,7:45 AM,3.75 hours,2026-02-14T07:45:00Z,2 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg0000AuWqRXMQ0,a0CQg0000AuWqRXMQ0,https://volunteer.laworks.com/organization/001Qg00000kedHzIAI,2026-02-11T17:58:24.553934
Food Pantry Distribution- St. Athanasius,Seeds of Hope,"Los Angeles, CA 90026",2/13/26,7:00 AM,3 hours,2026-02-13T07:00:00Z,3 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg0000B24hxIMQQ,a0CQg0000B24hxIMQQ,https://volunteer.laworks.com/organization/0013l00002d3jkZAAQ,2026-02-11T17:58:24.571994
